Experimental Tm Analysis

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8001246
Software Version:,,,"2.0,  Build 83"
Firmware Version:,,,2.0.081
Method Name:,,,HP3
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,
Filename:,,,C:\DU800 Data\Generic User\Experimental Tm Analysis\Praneetha\HP3AC4\melt1.dux
Date Acquired:,,,"August 08, 2006 11:06 AM"

Analytical Wavelength:,,,280.0 nm
Second Wavelength:,,,280.0 nm
Use of 2nd WL:,,,None
Calc Mode:,,,First Derivative
Ramp 1:,,,Yes
  Start Temperature:,,,10.0 °C
  Delay:,,,0.5 min
  Ramp Rate:,,,1.0 °C/min
  Read Interval:,,,0.5 °C
Ramp 2:,,,No
Ramp 3:,,,No
End Temperature:,,,110.0 °C
End Dwell:,,,0.0 min
Reverse Experiment:,,,No
Final Temperature:,,,Ambient Temp
Auto Print:,,,No
Auto Save:,,,Yes
Filename Prefix:,,,Default
Read Average Time:,,,0.50 sec
Notes:,,,

DATA ACQUISITION -- FIRST ANALYTICAL ABSORBANCES @ 280.0 nm
  
Temp,,Blank 1,,Cell 2,,Cell 3,,Cell 4
(°C),,Abs >>,,Abs >>,,Abs >>,,Abs >>
 ,, ,, ,, ,, 
10.3000,,-0.0762,,1.3331,,1.7694,,1.2652
10.5000,,-0.0764,,1.3207,,1.7855,,1.2804
11.0000,,-0.0767,,1.3135,,1.8005,,1.2846
11.5000,,-0.0766,,1.3140,,1.8099,,1.2862
12.0000,,-0.0767,,1.3123,,1.8197,,1.2864
12.4000,,-0.0769,,1.3138,,1.8258,,1.2866
12.9000,,-0.0767,,1.3141,,1.8296,,1.2881
13.4000,,-0.0768,,1.3143,,1.8317,,1.2899
13.9000,,-0.0767,,1.3154,,1.8377,,1.2864
14.4000,,-0.0769,,1.3168,,1.8378,,1.2854
14.9000,,-0.0771,,1.3182,,1.8401,,1.2873
15.3000,,-0.0769,,1.3193,,1.8399,,1.2894
15.8000,,-0.0770,,1.3200,,1.8400,,1.2890
16.3000,,-0.0772,,1.3209,,1.8382,,1.2852
16.8000,,-0.0770,,1.3213,,1.8339,,1.2732
17.3000,,-0.0777,,1.3232,,1.8266,,1.2543
17.8000,,-0.0769,,1.3242,,1.8140,,1.2302
18.3000,,-0.0771,,1.3251,,1.7954,,1.2017
18.8000,,-0.0769,,1.3261,,1.7771,,1.1697
19.2000,,-0.0771,,1.3276,,1.7498,,1.1283
19.7000,,-0.0773,,1.3297,,1.7088,,1.0764
20.2000,,-0.0773,,1.3309,,1.6711,,1.0156
20.7000,,-0.0773,,1.3316,,1.6725,,1.0159
21.2000,,-0.0772,,1.3334,,1.6752,,1.0158
21.8000,,-0.0776,,1.3350,,1.6755,,1.0165
22.3000,,-0.0772,,1.3366,,1.6766,,1.0164
22.8000,,-0.0775,,1.3376,,1.6797,,1.0167
23.4000,,-0.0773,,1.3399,,1.6823,,1.0180
23.8000,,-0.0777,,1.3409,,1.6827,,1.0193
24.2000,,-0.0774,,1.3426,,1.6839,,1.0200
24.7000,,-0.0778,,1.3443,,1.6842,,1.0204
25.2000,,-0.0774,,1.3458,,1.6881,,1.0199
25.7000,,-0.0777,,1.3482,,1.6899,,1.0200
26.2000,,-0.0778,,1.3495,,1.6914,,1.0204
26.7000,,-0.0777,,1.3515,,1.6914,,1.0219
27.1000,,-0.0777,,1.3535,,1.6943,,1.0253
27.7000,,-0.0778,,1.3549,,1.6973,,1.0285
28.2000,,-0.0777,,1.3568,,1.6987,,1.0297
